name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
ENELAM.SN,2291766016,3800136960,8883213312,16626359296,15.82
CEMEXCPO.MX,489697984,1862082048,8729083904,15202463744,29.03
ABX.TO,5779999744,6193999872,5144000000,11847999488,34.87
S32.AX,2364999936,4131000064,1827000064,9452000256,23.92
BHP.AX,17539000320,37647998976,18251999232,65410998272,26.57
FMG.AX,5224000000,10501999616,6103000064,17390000128,24.84
WDS.AX,5107999744,6048999936,6998000128,10268000256,31.03
S32.XA,2364999936,4131000064,1827000064,9452000256,23.92
NTR.TO,711000000,10992000000,11703000064,34611998720,27.51
ATD.TO,2217600000,4727900160,9359399936,67888701440,22.23
WPM.TO,448625984,818934016,2443000,1157319040,7.87
JNJ,32568000512,31648000000,32597000192,96041000960,25.08
WMT,13923000320,34586001408,67207999488,587823972352,24.63
MTS.MC,4456999936,20999000064,8787999744,85012996096,37.28
BP.L,33237999616,36898000896,60921999360,202318004224,32.67
GLEN.L,2881999872,26653999104,31199000576,244381007872,36.03
SHELL.AS,38969999360,64382001152,83740999680,329585000448,34.84
TTE.PA,40711000064,55345000448,63230001152,238762999808,29.63
STM.PA,3443000064,4442999808,2692999936,14136000512,18.16
TTE.L,40711000064,55345000448,63230001152,238762999808,29.63
PRU.L,6415000064,1864000000,5919000064,1872999936,15.71
1928.HK,766000000,-163000000,8659999744,2168999936,18.19
0981.HK,14861279232,3349313024,7254923776,6740419072,31.38
0288.HK,1061000000,2555000064,4463000064,27360000000,36.08
STM.MI,3443000064,4442999808,2692999936,14136000512,18.16
CNHI.MI,2569999872,3536000000,21183000576,34885001216,16.61
TEN.MI,1196397952,2197340928,857286976,8978421760,21.65
VRSK,484600000,1403900032,3746500096,3046799872,20.01
H78.SI,746700032,906400000,6808200192,2392499968,17.56
D01.SI,219100000,346500000,4028199936,8961699840,32.26
C07.SI,4084900096,3408600064,6349400064,20081500160,42.63
J36.SI,7328000000,5494000128,20491999232,35861999616,50.44
MO,2567000064,12314999808,27680000000,20726999040,23.99
BRK-B,105411002368,26516000768,119081000960,289370996736,16.02
DELL,5506999808,8753999872,27836999680,106956996608,16.22
GE,16193000448,7414000128,32910000128,75071995904,40.71
ORCL,11219999744,18404999168,91576999936,44157001728,13.92
TGT,1151000064,8531999744,17930999808,107855003648,14.72
BMY,13265999872,20383000576,43050999808,46738001920,22.83
